"GEOID","suffix","n"
"28057","RD",858
"28059","RD",1042
"28061","ST",69
"28063","RD",382
"28065","RD",414
"28067","RD",1287
"28069","RD",789
"28071","DR",285
"28073","RD",851
"28075","RD",705
"28077","LN",365
"28079","RD",609
"28081","DR",770
"28083","ST",324
"28085","SE",276
"28087","RD",664
"28091","LN",416
"28099","RD",131
"28103","RD",370
"28105","RD",574
"28107","RD",652
"28115","RD",303
"28123","RD",566
"28131","RD",568
"28139","ST",138
"28147","RD",579
"28153","DR",512
"28161","RD",227
"28163","RD",404
"29009","RD",358
"29011","RD",247
"29013","ST",410
"29015","RD",736
"29017","ST",103
"29019","DR",1361
"29021","ST",877
"29023","LN",379
"29025","DR",292
"29027","DR",392
"29029","DR",1654
"29031","LN",760
"29033","ST",267
"29035","ST",103
"29037","ST",1581
"29039","RD",1173
"29041","RD",351
"29043","RD",904
"29045","ST",229
"29047","ST",2654
"29049","ST",449
"29051","DR",581
"29053","ST",191
"29055","RD",470
"29057","ST",187
"29059","RD",413
"29061","ST",591
"29063","RD",416
"29065","ST",170
"29067","AVE",79
"29069","ST",703
"29071","DR",1238
"29073","RD",404
"29075","ST",485
"29077","ST",2007
"29079","ST",549
"29081","ST",509
"29083","RD",796
"29085","ST",105
"29087","RD",188
"29089","ST",185
"29091","ST",375
"29093","RD",215
"29095","ST",5482
"29097","ST",1190
"29099","DR",3184
"29101","RD",1198
"29103","ST",129
"29105","DR",445
"29107","ST",589
"29109","ST",495
"29111","ST",511
"29113","DR",692
"29115","ST",414
"29117","ST",300
"29119","RD",590
"29121","ST",588
"29123","ST",108
"29125","ST",61
"29127","ST",380
"29129","ST",262
"29131","RD",772
"29133","ST",353
"29135","RD",365
"29137","ST",196
"29139","RD",453
"29141","RD",1040
"29143","ST",398
"29145","LN",714
"29147","ST",896
"29149","ST",135
"29151","LN",411
"29153","DR",124
"29155","ST",363
"29157","LN",266
"29159","RD",568
"29161","RD",338
"29163","ST",332
"29165","ST",1007
"29167","RD",1176
"29169","LN",467
"29171","ST",251
"29173","RD",177
"29175","ST",353
"29177","ST",605
"29179","ST",69
"29181","ST",125
"29183","DR",4034
"29185","RD",630
"29186","RD",274
"29187","ST",805
"29189","DR",8283
"29195","AVE",397
"29197","ST",181
"29199","ST",126
"29201","ST",532
"29203","ST",119
"29205","ST",224
"29207","ST",515
"29209","LN",1014
"29211","RD",339
"29213","RD",899
"29215","RD",425
"29217","RD",1557
"29219","DR",701
"29221","RD",980
"29223","ST",195
"29225","RD",539
"29227","ST",137
"29229","RD",411
"29510","AVE",1439
"30001","RD",532
"30003","RD",326
"30005","RD",462
