GEOID,suffix,n
27007,RD,1088
27009,ST,400
27011,ST,303
27013,ST,901
27015,ST,578
27017,RD,1199
27019,ST,514
27021,RD,864
27023,ST,286
27025,ST,767
27027,ST,953
27029,RD,339
27031,RD,461
27033,ST,252
27035,RD,1478
27037,ST,1657
27039,ST,421
27041,RD,644
27043,ST,548
27045,ST,657
27047,ST,613
27049,ST,775
27051,ST,342
27053,AVE,5542
27055,RD,354
27057,DR,559
27059,ST,652
27061,RD,1899
27063,ST,305
27065,AVE,291
27067,AVE,709
27069,ST,205
27071,RD,542
27073,ST,378
27075,RD,660
27077,RD,382
27079,ST,590
27081,ST,265
27083,ST,615
27085,ST,472
27087,RD,220
27089,AVE,509
27091,ST,528
27093,ST,575
27095,ST,428
27097,RD,702
27099,ST,860
27101,ST,305
27103,ST,278
27105,AVE,354
27107,ST,304
27109,ST,1019
27111,AVE,1397
27113,AVE,355
27115,RD,1173
27117,ST,228
27119,ST,1141
27121,ST,462
27123,ST,2235
27125,ST,210
27127,ST,496
27129,ST,442
27131,ST,781
27133,ST,418
27135,AVE,555
27137,RD,5344
27139,ST,870
27141,ST,1266
27143,ST,453
27145,ST,1568
27147,ST,431
27149,ST,265
27151,ST,529
27153,AVE,543
27155,ST,252
27157,ST,598
27159,AVE,381
27161,ST,413
27163,ST,1540
27165,ST,280
27167,ST,283
27169,RD,497
27171,ST,1591
27173,ST,303
28001,RD,422
28003,RD,825
28005,RD,356
28007,RD,1002
28009,RD,360
28011,RD,608
28013,RD,478
28015,RD,606
28017,RD,388
28019,RD,454
28021,RD,269
28023,RD,629
28025,RD,467
28027,RD,370
28029,LN,506
28031,RD,502
28033,DR,1680
28035,RD,631
28037,RD,355
28039,RD,682
28041,RD,638
28043,RD,533
28045,ST,927
28047,DR,1415
28049,DR,1488
28051,RD,632
28053,RD,388
28055,RD,189
28057,RD,937
28059,RD,1155
28061,RD,767
28063,RD,382
28065,RD,414
28067,RD,1306
28069,RD,799
28071,RD,888
28073,RD,856
28075,RD,744
28077,LN,365
28079,RD,618
28081,DR,1044
28083,RD,583
28085,LN,399
28097,RD,270
28099,RD,756
28111,RD,488
28113,RD,499
28115,RD,651
28121,DR,1281
28123,RD,574
28125,RD,204
28131,RD,584
28133,RD,546
28135,RD,330
28137,RD,439
28139,RD,596
28141,RD,759
28143,RD,279
28145,RD,518
28147,RD,589
28149,DR,430
28151,ST,609
28153,DR,512
28155,RD,652
28157,LN,213
28159,RD,596
28161,RD,631
28163,RD,404
29001,ST,377
29003,RD,647
29005,ST,393
29007,RD,862
29009,RD,795
29011,RD,256
29013,RD,640
29015,RD,780
29017,RD,326
29019,DR,1379
29021,ST,890
29023,RD,667
29025,RD,527
29027,RD,796
29029,DR,1666
29031,LN,760
29033,RD,1029
29035,RD,295
29037,ST,1583
29039,RD,1399
29041,RD,705
29043,RD,936
29045,ST,229
29047,ST,2659
29049,RD,646
29051,DR,581
29053,ST,191
29055,RD,518
29057,RD,425
29059,RD,432
29061,ST,593
29063,RD,436
29065,RD,697
29067,RD,408
29069,ST,703
29071,DR,1238
29073,RD,460
29075,ST,485
29077,ST,2013
29079,ST,552
29081,ST,509
29083,RD,800
29085,RD,370
29087,RD,190
29089,RD,271
29091,RD,966
29093,RD,472
29095,ST,6069
29097,LN,1204
29099,DR,3186
29101,RD,1205
29103,RD,455
29105,DR,445
29107,RD,674
29109,ST,789
29111,ST,511
29113,RD,814
29115,ST,414
29117,ST,458
29119,RD,629
29121,ST,588
29123,ST,375
29125,RD,364
29127,RD,452
29129,ST,262
29131,RD,780
29133,ST,353
29135,RD,365
29137,RD,747
29139,RD,505
29141,RD,1040
29143,ST,398
29145,LN,714
29147,ST,896
29149,RD,501
29151,LN,412
29153,RD,651
29155,RD,390
29157,LN,266
29159,RD,574
29161,RD,1220
29163,RD,621
29165,ST,1018
29167,RD,1211
29169,LN,467
29171,ST,256
29173,RD,210
29175,RD,729
29177,ST,605
29179,RD,615
29181,RD,133
29183,DR,4056
29185,RD,638
29186,RD,282
29187,ST,806
29189,DR,8307
29195,RD,855
29197,ST,181
29199,RD,178
29201,ST,558
29203,RD,339
29205,RD,519
29207,RD,619
29209,LN,1016
29211,RD,340
29213,RD,903
29215,RD,931
29217,RD,1580
29219,DR,710
29221,RD,1295
29223,RD,452
29225,RD,848
29227,RD,315
29229,RD,831
29510,AVE,1453
30001,RD,640
30003,RD,401
30005,RD,469
30007,PVT,404
30009,RD,578
30011,RD,289
30013,ST,548
30015,RD,544
30017,RD,265
30019,RD,237
30021,RD,211
30023,RD,186
30025,RD,107
30027,RD,418
30029,RD,1448
30031,RD,1216
30033,RD,178
30035,RD,341
30037,RD,138
30039,RD,462
30041,RD,465
30043,RD,537
30045,RD,550
30047,LN,733
30049,RD,848
30051,RD,280
30053,RD,1750
30055,RD,188
30057,RD,578
30059,RD,263
30061,RD,345
30063,RD,869
30065,RD,298
30067,RD,538
30069,RD,72
30071,RD,214
30073,RD,445
30075,RD,261
30077,RD,453
30079,RD,100
30081,LN,847
30083,RD,379
30085,RD,438
30087,RD,384
30089,RD,724
30091,RD,269
30093,ST,497
30095,RD,467
30097,RD,179
30099,RD,310
30101,RD,317
30103,RD,90
30105,RD,496
30107,RD,199
30109,RD,103
30111,DR,962
31001,AVE,413
31003,RD,274
31005,RD,48
31007,RD,210
31009,RD,61
31011,ST,400
31013,RD,246
31015,RD,173
31017,ST,114
31019,RD,561
31021,ST,190
31023,RD,263
31025,ST,570
31027,AVE,259
31029,RD,194
31031,RD,231
31033,RD,465
31035,ST,267
31037,ST,221
31039,ST,206
31041,RD,1127
31043,ST,356
31045,RD,257
31047,RD,379
31049,RD,174
31051,AVE,244
31053,ST,480
31055,ST,5760
31057,RD,156
31059,ST,230
31061,RD,371
31063,RD,385
31065,RD,430
31067,ST,515
31069,RD,269
31071,AVE,102
31073,RD,185
31075,LN,65
31077,AVE,155
31079,ST,500
31081,RD,233
31083,RD,462
31085,RD,76
31087,RD,297
31089,RD,490
31091,AVE,29
31093,ST,186
